tata_company,tata_rows,normalized_name,inferred_parent,recommended_parent,in_spring_canonical,in_spring_aliases,in_spring_entity_members,in_base_only,fix_bucket,priority,recommended_action
中通服建设有限公司,2,中通服建设有限公司,中通服建设有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
中铁建工集团有限公司,2,中铁建工集团有限公司,中铁建工集团有限公司,中铁建工一公司,True,True,True,False,alias_to_existing_spring_parent,p1,add_alias_mapping
中顺洁柔纸业股份有限公司,2,中顺洁柔纸业股份有限公司,中顺洁柔纸业股份有限公司,中顺洁柔,True,True,True,False,alias_to_existing_spring_parent,p1,add_alias_mapping
乐天创研（北京）科技有限公司,2,乐天创研（北京）科技有限公司,乐天创研（北京）科技有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
乖宝宠物食品集团股份有限公司,2,乖宝宠物食品集团股份有限公司,乖宝宠物食品集团股份有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
乘风云起网络科技（上海）有限公司,2,乘风云起网络科技（上海）有限公司,乘风云起网络科技（上海）有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
九州通医药集团股份有限公司,2,九州通医药集团股份有限公司,九州通医药集团股份有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
云知声智能科技股份有限公司,2,云知声智能科技股份有限公司,云知声智能科技股份有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
云账户（天津）共享经济信息咨询有限公司,2,云账户（天津）共享经济信息咨询有限公司,云账户（天津）共享经济信息咨询有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
亨氏（中国）投资有限公司,2,亨氏（中国）投资有限公司,亨氏（中国）投资有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
佳兆业物业集团有限公司,2,佳兆业物业集团有限公司,佳兆业物业集团有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
元时空智能科技有限公司,2,元时空智能科技有限公司,元时空智能科技有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
光大兴陇信托有限责任公司,2,光大兴陇信托有限责任公司,光大兴陇信托有限责任公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
公牛集团股份有限公司,2,公牛集团股份有限公司,公牛集团股份有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
内蒙古鄂尔多斯投资控股集团有限公司,2,内蒙古鄂尔多斯投资控股集团有限公司,内蒙古鄂尔多斯投资控股集团有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
创维数字股份有限公司,2,创维数字股份有限公司,创维数字股份有限公司,创维,True,True,True,False,alias_to_existing_spring_parent,p1,add_alias_mapping
北京七星华创精密电子科技有限责任公司,2,北京七星华创精密电子科技有限责任公司,北京七星华创精密电子科技有限责任公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
